MAX CAP,SUPPLY RATE,PRICE,ITEM
17,1-15,924,Tauri Chimes
7,4,2654,Aepyornis Egg
12,11,1675,Ceti Rabbits
14,0-9,1283,Chateau De Aegaeon
15,3-15,621,Edan Apples of Aerial
4,4,8966,Aganippe Rush
14,9-14,1421,Alacarakmo Skin Art
7,1-6,3319,Centauri Mega Gin
22,2-22,489,Altairian Skin
16,2-7,454,Alya Body Soup
16,0-11,891,Anduliga Fire Works
11,2-11,1790,Any Na Coffee
12,1-6,1191,Arouca Conventula Sweets
5,1-5,6442,Az Cancri Formula 42
18,2-10,825,Baltha'sine Vacuum Krill
18,ND,634,Banki Amphibious Leather
10,4-5,1089,Bast Snake Gin
11,3-6,364,Belalans Ray Leather
12,2-11,2373,CD-75 Kitten Brand Coffee
3,2-3,12550,Cherbones Blood Crystals
18,5-12,790,Chi Eridani Marine Paste
20,4-14,255,Coquim Spongiform Victuals
15,2-8,315 cr ,Damna Carapaces
13,11,7420,Motrona Experience Jelly
17,2-17,211,Delta Phoenicis Palms
7,2-5,1892,Deuringas Truffles
15,1-10,340,Diso Ma Corn
13,2-4,863,Eleu Thermals
11,3-9,978,Indi Bourbon
8,1-7,1633,Eranin Whiskey
9,1-6,2050,Eshu Umbrellas
10,1-10,2450,Esuseku Caviar
7,1-7,3308,Ethgreze Tea Buds
10,2-10,992,Fujin Tea
26,26,1022,Geawen Dance Dust
9-17,3-17,1827,Pantaa Prayer Sticks
22,9-22,456,Gerasian Gueuze Beer
16,3-11,1451,Goman Yaupon Coffee
15,1-8,1347,Haidne Black Brew
2,1-2,9636,Havasupai Dream Catcher
13,2-6,1190,Live Hecate Sea Worms
8,1-6,1920,Ceremonial Heike Tea
6,1-3,3620,Helvetitj Pearls
13,4-12,2105,HIP 10175 Bush Meat
14,1-11,1488,HIP Proto-Squid
ND,13,806,Burnham Bile Distillate
19,1-18,385,HIP Organophospates
7,1-6,6518cr,Holva Duelling Blades
16,1-14,415,HR 7221 Wheat
12-16,2-7,1810,Giant Irukama Snails
6,1-6,12706,Jaradharre Puzzle Box
18,2-16,385,Jaroua Rice
32,4-24,1252,Jotun Mookah
10,2-9,473,Kachirigin Filter Leeches
6,1-4,5800,Kamitra Cigars
12,1-8,2678,Kamorin Historic Weapons
ND,ND,765,Onion Head
5,2-5,5225,Karetii Couture
18,7-11,915,Karsuki Locusts
3,1,7279,Kinago Violins
16,1-13,595,Kongga Ale
20,6-14,220,Koro Kung Pellets
7,4-7,3543,Lavian Brandy
7,3-5,1664,Chameleon Cloth
14,1-10,462,Leestian Evil Juice
7,2-7,4164,Azure Milk
ND,3-11,2357,Void Extract Coffee
13,13,1365,Honesty Pills
8,ND,1345,Mechucos High Tea
18,18,416,Medb starlube
7,1-3,2681,Mokojing Beast Feast
7,3-7,1836,Momus Bog Spaniel
15,3-5,654,Mukusubii Chitin-os
19,11-19,86,Mulachi Giant Fungus
13,6-7,850,Neritus Berries
10,3-5t,16028,Ngandandari Fire Opals
18,2-9,930,Nguna Modern Antiques
4,1-4,17000,Soontill Relics
13,7,650,Njangari Saddles
14,1-9,998,Ochoeng Chillies
16,6-10,533,Orrerian Vicious Brew
6,1-2,6,552,Giant Verrix
10,1-6,2538,Albino Quechua Mammoth Meat
16-27,6-27,682,Rajukru Multi-Stoves
11,5-6,550,Rapa Bao Snake Skins
10,3-5,5810,Rusani Old Smokey
17,1-17,860,Sanuma Decorative Meat
6,4-6,3710,Waters of Shintara
9,1-5,1814,Tanmark Tranquil Tea
8,1-7,1056,Tarach Spice
24,ND,7824,Terra Mater Blood Bores
11,1,925,Thrutis Cream
16,9,1153,Tiolce Waste 2 Paste
18,2-14,539,Toxandji Virocide
14,3-14,965,Uszaian Tree Grub
15,3-10,1795,Utgaroar Millennial Eggs
7,4-7,8496,Uzumoku Low-G Wings
20,2-15,160,V Herculis Body Rub
10,3-10,615,Vanayequi Ceratomorpha Fur
8,2-6,2398,Vega Slimweed
5,2,6771,Vidavantian Lace
6,3,3262,Volkhab Bee Drones
19,5-10,262,Wheemete Wheat Cakes
9,2-5,4520,Witchhaul Kobe Beef
10,ND,1175,Wulpa Hyperbore Systems
17,1-16,420,Wuthielo Ku Froth
10,3-10,4482,Xihe Biomorphic Companions
5t,1,6060,Yaso Kondi Leaf
1,1,24590,Leathery Eggs
18,1-18,374,Zeessze Ant Grub Glue
